date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product cost,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,Marketplace Withheld Tax,selling fees,fba fees,other tran fees,other,total
"Jul 17, 2018 11:23:11 AM PDT",10823131461,Order,113-9453796-2163460,4C-CW53-D7PB,"Glencoe Math Accelerated, Student Edition (MERRILL PRE-ALGEBRA)",1,amazon.com,0,Amazon,Miami,FL,33143,0,65,-2.5,0,0,0,0,0,0,0,0,-11.55,-5.47,-0.99,0,44.49
"Jul 29, 2018 2:15:46 AM PDT",10596618901,Order,112-9804139-6799453,XT-LJBH-Q4HR,"Geometry: Seeing, Doing, Understanding, 3rd Edition",1,amazon.com,0,Amazon,Fort Worth,TX,76108,0,80,0,0,0,0,0,0,0,0,0,-13.8,-5.47,-0.99,0,59.74
"Aug 5, 2018 2:51:31 AM PDT",10614912101,Order,112-2665095-3592222,SF-VHRA-PZVV,Invitation to Psychology (6th Edition),1,amazon.com,0,Amazon,ARCADIA,CA,91007-6644,0,45,-0.99,0,0,0,0,0,0,0,0,-8.55,-4.71,-0.99,0,29.76
"Aug 12, 2018 8:44:31 AM PDT",10629865801,Order,111-1948697-4133033,ZR-8W84-SSCT,Successful Coaching-4th Edition,1,amazon.com,0,Amazon,Varna,Varna,9000,0,25,-1.99,0,7.98,0,0,0,0,0,0,-5.55,-13.45,-0.99,0,11
"Aug 13, 2018 12:27:56 PM PDT",10629865801,Order,112-3484780-6513016,EA-DBSL-1EJ6,English Fundamentals (16th Edition) (Mywritinglab),1,amazon.com,0,Amazon,COLUMBUS,OH,43201-3363,0,70,-2.09,0,0,0,0,0,0,0,0,-12.3,-4.71,-0.99,0,49.91
"Aug 15, 2018 2:06:44 AM PDT",10629865801,Order,113-0017127-1489005,1F-XSEX-5I29,Human Anatomy (6th Edition),1,amazon.com,0,Amazon,GARDEN GROVE,CA,92843-2254,0,37,0,0,0,0,0,0,0,0,0,-7.35,-8.13,-0.99,0,20.53
"Aug 15, 2018 11:12:51 PM PDT",10629865801,Order,114-6306692-8775402,TN-BWRB-B56V,Governing California in the Twenty-First Century (Fifth Edition),1,amazon.com,0,Amazon,SAN YSIDRO,CA,92173-1502,0,13,0,0,0,0,0,0,0,0,0,-3.75,-4.71,-0.99,0,3.55
"Aug 17, 2018 5:21:20 PM PDT",10653273381,Order,114-4721005-1538607,1V-9VED-SLPL,"MCAT QBook: Over 2,000 Questions Covering Every MCAT Science Topic (More MCAT Practice)",1,amazon.com,0,Amazon,fair lawn,NJ,7410,0,25,-0.99,0,0,0,0,0,0,0,0,-5.55,-5.47,-0.99,0,12
"Aug 17, 2018 6:37:25 PM PDT",10653273381,Order,111-6714353-3299417,G0-RWB5-P3CQ,"Dancing: The Pleasure, Power, and Art of Movement",1,amazon.com,0,Amazon,WASHINGTON,DC,20052-0010,0,20,0,0,0,0,0,0,0,0,0,-4.8,-5.09,-0.99,0,9.12
"Aug 18, 2018 1:24:54 PM PDT",10653273381,Order,112-9655144-4448218,0R-89YG-2CT6,Manual of Structural Kinesiology,1,amazon.com,0,Amazon,TEMPE,AZ,85281-8841,0,105,-1.99,0,0,0,0,0,0,0,0,-17.55,-5.09,-0.99,0,79.38
